#,Resource Name,year,Publication,Source,Relevant,Reason
1,A co-evolutionary genetic algorithms approach to detect video game bugs,2022,J SYST SOFTWARE,WoS,duplicate-yes,
2,Automated Video Game Testing Using Synthetic and Humanlike Agents,2021,IEEE T GAMES,WoS,duplicate-yes,
3,Exploring the use of online video games to detect personality dichotomies,2017,ONLINE INFORM REV,WoS,no,"Using online video games to detect personality dichotomies, does not focus on game testing"
4,"General Video Game AI: A Multitrack Framework for Evaluating Agents, Games, and Content Generation Algorithms",2019,IEEE T GAMES,WoS,duplicate-no,
5,Go-Explore Complex 3-D Game Environments for Automated Reachability Testing,2022,IEEE T GAMES,WoS,duplicate-yes,
6,A game engine designed to simplify 2D video game development,2020,MULTIMED TOOLS APPL,WoS,no,Focusses on 2d game develpment
7,Automated video game parameter tuning with XVGDL,2022,J UNIVERS COMPUT SCI,WoS,no,game develpment
8,From traditional gaming to mobile gaming: Video game players' switching behaviour!,2022,ENTERTAIN COMPUT,WoS,no,User behaviour
9,Rolling Horizon Evolutionary Algorithms for General Video Game Playing,2022,IEEE T GAMES,WoS,no,General video game playing not testing
10,Video-games: Do they require general intelligence?,2009,COMPUT EDUC,WoS,no,Investigation into whether video games require general intelligence
11,Rafting multiplayer video games,2022,SOFTWARE PRACT EXPER,WoS,no,Design and analysis of multiplayer rafting video games
12,A video game for the neuropsychological screening of children,2017,ENTERTAIN COMPUT,WoS,no,games as tools: Development of a video game for neuropsychological screening of children
13,Cloud Gaming with Foveated Video Encoding,2020,ACM T MULTIM COMPUT,WoS,no,Cloud gaming implementation
14,Facial Features of Non-player Creatures Can Influence Moral Decisions in Video Games,2017,ACM T APPL PERCEPT,WoS,no,User behaviour: Influence of facial features of non-player creatures on moral decisions in video games
15,Learning Prosody in a Video Game-Based Learning Approach,2019,MULTIMODAL TECHNOLOG,WoS,no,Game as tool: Learning Prosody
16,Improving Youngsters' Resilience Through Video Game-Based Interventions,2020,VIETNAM J COMPUT SCI,WoS,no,games as tools: Enhancing youngsters' resilience 
17,The 2014 General Video Game Playing Competition,2016,IEEE T COMP INTEL AI,WoS,no,
18,Beyond action video games: Differences in gameplay and ability preferences among gaming genres,2021,ENTERTAIN COMPUT,WoS,no,user behaviour: Study on gameplay and ability preferences across gaming genres
19,"An empirical study on gender, video game play, academic success and complex problem solving skills",2018,COMPUT EDUC,WoS,no,"game player behaviour: Empirical study on gender, video game play, academic success, and complex problem-solving skills"
20,Developing social-emotional concepts for learning with video games,2023,COMPUT EDUC,WoS,no,Focuses on social-emotional concepts in learning with video games.
21,Evaluation of cognitive behavior among deaf subjects with video game as intervention,2017,COGN SYST RES,WoS,no,Evaluates cognitive behavior among deaf subjects using video games as intervention.
22,Slingshot 3D: A synchronous haptic-audio-video game,2014,MULTIMED TOOLS APPL,WoS,no,Focuses on synchronous haptic-audio-video game development.
23,Detecting Video Game Player Burnout With the Use of Sensor Data and Machine Learning,2021,IEEE INTERNET THINGS,WoS,no,Focuses on detecting player burnout using sensor data and machine learning.
24,Evaluation of an electronic video game for improvement of balance,2012,VIRTUAL REAL-LONDON,WoS,no,Evaluates an electronic video game's effectiveness in improving balance.
25,"Context counts: The different implications of weekday and weekend video gaming for academic performance in mathematics, reading, and science",2018,COMPUT EDUC,WoS,no,Explores the implications of weekday and weekend video gaming on academic performance.
26,Exploring video games that invoke curiosity,2019,ENTERTAIN COMPUT,WoS,no,Investigates video games that invoke curiosity.
27,Analytical Framework for Facial Expression on Game Experience Test,2022,IEEE ACCESS,WoS,no,Develops an analytical framework for facial expressions in game experience testing.
28,Towards a unified theory of toxic behavior in video games,2020,INTERNET RES,WoS,no,Aims to develop a unified theory of toxic behavior in video games.
29,"The correlation between positive reviews, playtime, design and game mechanics in souls-like role-playing video games",2023,MULTIMED TOOLS APPL,WoS,no,"Studies the correlation between positive reviews, playtime, design, and game mechanics in souls-like RPGs."
30,Deception in video games: examining varieties of griefing,2013,ONLINE INFORM REV,WoS,no,Examines varieties of griefing and deception in video games.
31,Developing and evaluating a BCI video game for neurofeedback training: the case of autism,2019,MULTIMED TOOLS APPL,WoS,no,Develops and evaluates a BCI video game for neurofeedback training in autism.
32,Automatic evolution of programs for procedural generation of terrains for video games,2012,SOFT COMPUT,WoS,no,Focuses on automatic evolution of programs for procedural generation of terrains in video games.
33,Extended Interaction With a BCI Video Game Changes Resting-State Brain Activity,2020,IEEE T COGN DEV SYST,WoS,no,Investigates changes in resting-state brain activity due to extended interaction with a BCI video game.
34,Representational-competency supports in the context of an educational video game for undergraduate astronomy,2022,COMPUT EDUC,WoS,no,Focuses on representational-competency supports in an educational video game for undergraduate astronomy.
35,Can educational video games increase high school students' interest in theatre?,2015,COMPUT EDUC,WoS,no,Examines the potential of educational video games to increase high school students' interest in theatre.
36,News Presentation and the Third-Person Effect of Violent Video Games,2019,INT J GAMING COMPUT-,WoS,no,Explores news presentation and the third-person effect of violent video games.
37,AN EMPIRICAL STUDY ON COLLECTIVE INTELLIGENCE ALGORITHMS FOR VIDEO GAMES PROBLEM-SOLVING,2015,COMPUT INFORM,WoS,no,Conducts an empirical study on collective intelligence algorithms for video game problem-solving.
38,Effects of Prosocial Video Games on Prosocial Thoughts and Prosocial Behaviors,2023,SOC SCI COMPUT REV,WoS,no,Studies the effects of prosocial video games on thoughts and behaviors.
39,Rapid and Reliable Adaptation of Video Game AI,2009,IEEE T COMP INTEL AI,WoS,no,Focuses on rapid and reliable adaptation of video game AI.
40,Congestion Control for Cloud Gaming Over UDP Based on Round-Trip Video Latency,2019,IEEE ACCESS,WoS,no,Develops congestion control methods for cloud gaming based on round-trip video latency.
41,BashDungeon: Learning UNIX with a video-game,2019,MULTIMED TOOLS APPL,WoS,no,Aims to teach UNIX learning through a video-game approach.
42,"A qualitative investigation of users' discovery, access, and organization of video games as information objects",2016,J INF SCI,WoS,no,Qualitatively investigates users' interaction with video games as information objects.
43,Serious games to prevent and detect bullying and cyberbullying: A systematic serious games and literature review,2020,COMPUT EDUC,WoS,no,Reviews serious games for preventing and detecting bullying and cyberbullying.
44,Game-Theoretic Pricing for Video Streaming in Mobile Networks,2012,IEEE T IMAGE PROCESS,WoS,no,Develops game-theoretic pricing models for video streaming in mobile networks.
45,Risk-Distortion Analysis for Video Collusion Attacks: A Mouse-and-Cat Game,2010,IEEE T IMAGE PROCESS,WoS,no,Analyzes risk-distortion in video collusion attacks using a game-theoretic approach.
46,Computing machinery and emergence: The aesthetics and metaphysics of video games,2005,MIND MACH,WoS,no,Explores the aesthetics and metaphysics of video games and computing machinery.
47,Building a Planner: A Survey of Planning Systems Used in Commercial Video Games,2019,IEEE T GAMES,WoS,no,Surveys planning systems used in commercial video games.
48,Performance prediction at single-action level to a first-person shooter video game,2021,VIRTUAL REAL-LONDON,WoS,no,Predicts performance at the single-action level in a first-person shooter video game.
49,CCPT: Automated gameplay testing and validation with curiosity-conditioned proximal trajectories,2022,IEEE Transactions on Games,WoS,duplicate-yes,
50,Deep learning and multivariate time series for cheat detection in video games,2021,MACH LEARN,WoS,duplicate-no,
51,The unexpected comfort of wearing headphones: Emotional and cognitive effects of headphone use when playing a bloody video game,2017,ENTERTAIN COMPUT,WoS,no,Explores emotional and cognitive effects of headphone use in playing a bloody video game.
52,SGAME: An Authoring Tool to Easily Create Educational Video Games by Integrating SCORM-Compliant Learning Objects,2021,IEEE ACCESS,WoS,no,Develops an authoring tool for creating educational video games with SCORM-compliant learning objects.
53,"What makes male gamers angry, sad, amused, and enthusiastic while playing violent video games?",2021,ENTERTAIN COMPUT,WoS,no,Investigates emotional responses of male gamers while playing violent video games.
54,Automatic Recognition of Boredom in Video Games Using Novel Biosignal Moment-Based Features,2011,IEEE T AFFECT COMPUT,WoS,no,Develops methods for automatic recognition of boredom in video games using novel biosignal features.
55,Design of a serious games to improve resilience skills in youngsters,2022,ENTERTAIN COMPUT,WoS,no,Designs a serious game to improve resilience skills in youngsters.
56,Serious video games and psychological support: A depression intervention among young cancer patients,2022,ENTERTAIN COMPUT,WoS,no,Explores serious video games for psychological support in depression intervention among young cancer patients.
57,The Effect of Multiplayer Video Games on Incidental and Intentional L2 Vocabulary Learning: The Case of Among Us,2021,MULTIMODAL TECHNOLOG,WoS,no,Studies the effect of multiplayer video games on L2 vocabulary learning using Among Us as a case study.
58,"Describing, organizing, and maintaining video game development artifacts",2021,J ASSOC INF SCI TECH,WoS,duplicate-no,
59,A model for collective behaviour propagation: a case study of video game industry,2020,NEURAL COMPUT APPL,WoS,no,Develops a model for collective behavior propagation in the video game industry.
60,"Game-based interventions for neuropsychological assessment, training and rehabilitation: Which game-elements to use? A systematic review",2019,J BIOMED INFORM,WoS,no,"Reviews game-based interventions for neuropsychological assessment, training, and rehabilitation."
61,An empirical investigation of eWOM and used video game trading: The moderation effects of product features,2019,DECIS SUPPORT SYST,WoS,no,"Empirically investigates eWOM and used video game trading, moderated by product features."
62,The adaptable Pareto set problem for facility location: A video game approach,2021,EXPERT SYST APPL,WoS,no,Applies a video game approach to solve the adaptable Pareto set problem for facility location.
63,A hybrid graphics/video rate control method based on graphical assets for cloud gaming,2022,J REAL-TIME IMAGE PR,WoS,no,Develops a hybrid graphics/video rate control method for cloud gaming using graphical assets.
64,A Video Game-Crowdsourcing Approach to Discover a Player's Strategy for Problem Solution to Housing Development,2021,IEEE ACCESS,WoS,no,Uses a video game-crowdsourcing approach to discover player strategies for housing development problem solutions.
65,Investigating On-Screen Gamepad Designs for Smartphone-Controlled Video Games,2015,ACM T MULTIM COMPUT,WoS,no,Investigates on-screen gamepad designs for smartphone-controlled video games.
66,Meme representations for game agents,2015,WORLD WIDE WEB,WoS,no,Explores meme representations for game agents.
67,More than skills: A novel matching proposal for multiplayer video games,2018,ENTERTAIN COMPUT,WoS,no,Proposes a novel matching system for multiplayer video games.
68,Neural correlates of action video game experience in a visuospatial working memory task,2020,NEURAL COMPUT APPL,WoS,no,Investigates neural correlates of action video game experience in visuospatial working memory tasks.
69,Moving towards the End of Gender Differences in the Habits of Use and Consumption of Mobile Video Games,2022,INFORMATION,WoS,no,Examines gender differences in the habits of use and consumption of mobile video games.
70,"Conceptual models and mental models in operation: Frustration, performance and flow with two different video game controllers",2018,ENTERTAIN COMPUT,WoS,no,Explores conceptual and mental models in video game operation with different controllers.
71,The emerging adolescent World of Warcraft video gamer: A five factor exploratory profile model,2016,ENTERTAIN COMPUT,WoS,no,Develops a five-factor exploratory profile model for emerging adolescent World of Warcraft gamers.
72,Acceptance of game-based learning by secondary school teachers,2013,COMPUT EDUC,WoS,no,Investigates the acceptance of game-based learning by secondary school teachers.
73,Living With Technical Debt-A Perspective From the Video Game Industry,2021,IEEE SOFTWARE,WoS,no,Explores technical debt in the video game industry.
74,A non-cooperative quality optimization game for scalable video delivery over MANETs,2013,WIREL NETW,WoS,no,Develops a non-cooperative quality optimization game for scalable video delivery over MANETs.
75,Avatars of a Feather Flock Together: Gender Homophily in Online Video Games Revealed via Exponential Random Graph Modeling,2020,IEEE T GAMES,WoS,no,Studies gender homophily in online video games using exponential random graph modeling.
76,"I tag, you tag: the role of tagging in the formation of topic-based communities of video game channels in YouTube (2016)",2022,SOC NETW ANAL MIN,WoS,no,Investigates the role of tagging in forming topic-based communities of video game channels on YouTube.
77,Avatar economies: affective investment from game to platform,2018,NEW REV HYPERMEDIA M,WoS,no,Focuses on avatar economies and affective investment .
78,Analysis of Video Game Players' Emotions and Team Performance: An Esports Tournament Case Study,2022,IEEE J BIOMED HEALTH,WoS,no,Analyzes emotions and team performance in esports tournaments .
79,Assessing the Believability of Computer Players in Video Games: A New Protocol and Computer Tool,2021,FRONT COMP SCI-SWITZ,WoS,no,Evaluates the believability of computer players .
80,Game induced emotion analysis using electroencephalography,2022,COMPUT BIOL MED,WoS,no,Analyzes game-induced emotions using EEG .
81,Empirical evaluation of metadata for video games and interactive media,2015,J ASSOC INF SCI TECH,WoS,no,Evaluates metadata for video games and interactive media .
82,Towards a system of customized video game mechanics based on player personality: Relating the Big Five personality traits with difficulty adaptation in a first-person shooter game,2016,ENTERTAIN COMPUT,WoS,no,Develops customized game mechanics based on player personality .
83,A Data-Driven Approach for Video Game Playability Analysis Based on Players' Reviews,2021,INFORMATION,WoS,no,Uses data-driven approach for playability analysis based on player reviews .
84,Students' perceptions about the use of video games in the classroom,2010,COMPUT EDUC,WoS,no,Investigates students' perceptions of using video games in education .
85,A Pattern Mining Approach to Study Strategy Balance in RTS Games,2017,IEEE T COMP INTEL AI,WoS,no,Uses pattern mining to study strategy balance in RTS games .
86,Detecting conversational groups in images and sequences: A robust game-theoretic approach,2016,COMPUT VIS IMAGE UND,WoS,no,Detects conversational groups using game-theoretic approaches .
87,Evaluating Cognitive and Affective Outcomes of a Digital Game-Based Math Test,2018,IEEE T LEARN TECHNOL,WoS,no,Evaluates cognitive and affective outcomes of a digital game-based math test .
88,QoE modeling for audiovisual associated with MOBA game using subjective approach,2022,MULTIMED TOOLS APPL,WoS,no,Models QoE for MOBA game audiovisuals using subjective approach .
89,A Method to Evaluate Emotions in Educational Video Games for Children,2013,J UNIVERS COMPUT SCI,WoS,no,Evaluates emotions in educational video games for children .
90,Exploring how players use emergent narrative in strategy games,2023,ENTERTAIN COMPUT,WoS,no,Explores how players use emergent narrative in strategy games .
91,To Kill or Not to Kill-An experimental test of moral Decision-Making in gaming,2022,ENTERTAIN COMPUT,WoS,no,Conducts experimental tests on moral decision-making in gaming .
92,"Investigating the Impact of Gaming Habits, Gender, and Age on the Effectiveness of an Educational Video Game: An Exploratory Study",2017,IEEE T LEARN TECHNOL,WoS,no,"Investigates impact of gaming habits, gender, and age on educational video game effectiveness ."
93,Digital Educational Games: Methodologies for Evaluating the Impact of Game Type,2018,ACM T COMPUT-HUM INT,WoS,no,Discusses methodologies for evaluating impact of game type in educational games .
94,Verifying Maze-Like Game Levels With Model Checker SPIN,2022,IEEE ACCESS,WoS,duplicate-no,
95,The distant Horizon: Investigating the relationship between social sciences academic research and game development,2020,ENTERTAIN COMPUT,WoS,no,Investigates relationship between social sciences research and game development .
96,Multimedia augmented reality game for learning math,2022,MULTIMED TOOLS APPL,WoS,no,Develops multimedia AR game for learning math .
97,Generating semantic descriptions of broadcasted sports videos based on structures of sports games and TV programs,2005,MULTIMED TOOLS APPL,WoS,no,Generates semantic descriptions of sports videos .
98,Visual Detection of Unknown Objects in Video Games Using Qualitative Stability Analysis,2016,IEEE T COMP INTEL AI,WoS,no,Uses qualitative stability analysis for visual detection in video games .
99,EEG based stress analysis using rhythm specific spectral feature for video game play,2022,COMPUT BIOL MED,WoS,no,Analyzes EEG-based stress during video game play .
100,Effects of Gender on Perception and Interpretation of Video Game Character Behavior and Emotion,2017,IEEE T COMP INTEL AI,WoS,no,Studies gender effects on perception of video game character behavior and emotion .
101,"The Design, Development, and Testing of Learning Supports for the Physics Playground Game",2021,INT J ARTIF INTELL E,WoS,no,"Designs, develops, and tests learning supports for the Physics Playground game ."
102,Challenges and Opportunities in Game Artificial Intelligence Education Using Angry Birds,2015,IEEE ACCESS,WoS,no,Discusses challenges and opportunities in game AI education using Angry Birds .
103,Reducing Outgroup Bias through Intergroup Contact with Non-Playable Video Game Characters in VR,2018,PRESENCE-VIRTUAL AUG,WoS,no,Addresses reducing outgroup bias through VR interactions .
104,Resource Allocation for D2D Video Multicast Using Multi-Leader Multi-Follower Stackelberg Game With Personalized Incentives,2019,IEEE ACCESS,WoS,no,Allocates resources for D2D video multicast using game theory .
105,Beyond Fun and Games: A Framework for Quantifying Music Skill Developments from Video Game Play,2011,J NEW MUSIC RES,WoS,no,Develops framework for quantifying music skill development from video game play .
106,"The Impact of Controller Naturalness on Spatial Presence, Gamer Enjoyment, and Perceived Realism in a Tennis Simulation Video Game",2011,PRESENCE-TELEOP VIRT,WoS,no,Studies impact of controller naturalness on gamer experience in a tennis simulation .
107,Improvement potentials in balance and visuo-motor reaction time after mixed reality action game play: a pilot study,2020,VIRTUAL REAL-LONDON,WoS,no,Investigates improvement potentials in balance and reaction time after mixed reality game play .
108,Art in an algorithm: A taxonomy for describing video game visual styles,2018,J ASSOC INF SCI TECH,WoS,duplicate-no,
109,Reinforcement Learning in Video Games Using Nearest Neighbor Interpolation and Metric Learning,2016,IEEE T COMP INTEL AI,WoS,no,Applies reinforcement learning techniques in video games .
110,"Real-world demotivation as a predictor of continued video game playing: A study on escapism, anxiety and lack of intrinsic motivation",2022,ELECTRON COMMER R A,WoS,no,Studies real-world factors influencing continued video game playing .
111,An objective and subjective quality assessment study of passive gaming video streaming,2020,INT J NETW MANAG,WoS,no,Assesses objective and subjective quality of passive gaming video streaming .
112,Identifying gameplay videos that exhibit bugs in computer games,2019,EMPIR SOFTW ENG,WoS,no,Identifies gameplay videos showing bugs in computer games.
113,Nature of arcade games,2022,ENTERTAIN COMPUT,WoS,no,Explores the nature of arcade games .
114,"Differences in EEG Microstate Induced by Gaming: A Comparison Between the Gaming Disorder Individual, Recreational Game Users and Healthy Controls",2021,IEEE ACCESS,WoS,no,"Compares EEG microstates in gaming disorder individuals, recreational users, and healthy controls ."
115,Timesplitters: Playing video games before (but not after) school on weekdays is associated with poorer adolescent academic performance. A test of competing theoretical accounts,2020,COMPUT EDUC,WoS,no,Examines association between playing video games and academic performance .
116,Playing Aloud: Leveraging Game Commentary Culture for Playtesting,2022,INT J GAMING COMPUT-,WoS,no,Uses game commentary culture for playtesting .
117,Asymmetric and selective object rendering for optimized Cloud Mobile 3D Display Gaming user experience,2017,MULTIMED TOOLS APPL,WoS,no,Optimizes object rendering for Cloud Mobile 3D Display gaming .
118,Bayesian event detection for sport games with hidden Markov model,2012,PATTERN ANAL APPL,WoS,no,Detects events in sport games using hidden Markov models .
119,Design guidelines for Classroom Multiplayer Presential Games (CMPG),2011,COMPUT EDUC,WoS,no,Develops design guidelines for classroom multiplayer presential games .
120,Effect of Social Environment on Brand Recall in Sports Video Games,2021,INT J GAMING COMPUT-,WoS,no,Studies effect of social environment on brand recall in sports video games .
121,BOWLING GAME EVENTS DETECTION BASED ON AUDIO-VISUAL CLUES,2010,INT J INNOV COMPUT I,WoS,no,Detects bowling game events using audio-visual clues .
122,Characterizing player responses to surprising events in 2D platform games,2023,ENTERTAIN COMPUT,WoS,no,Characterizes player responses to surprising events in 2D platform games .
123,Predict the Value of Football Players Using FIFA Video Game Data and Machine Learning Techniques,2022,IEEE ACCESS,WoS,no,Predicts football player values using FIFA video game data and ML techniques .
124,Game Accessibility and Advocacy for Participation of the Japanese Disability Community,2020,INFORMATION,WoS,no,Advocates for game accessibility for Japanese disability community .
125,Video games can develop graduate skills in higher education students: A randomised trial,2017,COMPUT EDUC,WoS,no,Conducts randomized trial on video game development of graduate skills in higher education students .
126,Efficient Deep Learning Bot Detection in Games Using Time Windows and Long Short-Term Memory (LSTM),2020,IEEE ACCESS,WoS,no,Detects bots in games using deep learning and LSTM .
127,SDN-Enabled Game-Aware Routing for Cloud Gaming Datacenter Network,2017,IEEE ACCESS,WoS,no,Implements SDN-enabled game-aware routing for cloud gaming datacenter network .
128,Playing to play: a piano-based user interface for music education video-games,2019,MULTIMED TOOLS APPL,WoS,no,Develops piano-based UI for music education video games .
129,"Coping with COVID-19 pandemic stressors: Comparisons between non-players and players, and levels of Game Transfer Phenomena",2023,ENTERTAIN COMPUT,WoS,no,"Compares coping with COVID-19 stressors between players and non-players, and examines Game Transfer Phenomena ."
130,Experimental Feedback on Prog&Play: A Serious Game for Programming Practice,2011,COMPUT GRAPH FORUM,WoS,no,"Provides experimental feedback on Prog&Play, a serious game for programming practice ."
131,Measuring the sociocultural appeal of SNS games in Taiwan,2013,INTERNET RES,WoS,no,Sociocultural appeal of SNS games in Taiwan
132,Students' attitudes toward playing games and using games in education: Comparing Scotland and the Netherlands,2013,COMPUT EDUC,WoS,no,Attitudes toward gaming and its use in education in Scotland and the Netherlands
133,How Decisions Are Made in Brains: Unpack Black Box of CNN With Ms. Pac-Man Video Game,2020,IEEE ACCESS,WoS,no,Decision-making processes in brains using CNN with Ms. Pac-Man
134,Can Video Games Be Used as a Stealth Assessment of Aggression? A Criterion-Related Validity Study,2019,INT J GAMING COMPUT-,WoS,no,Using video games for stealth assessment of aggression
135,Effects of commercial video games on cognitive elaboration of physical concepts,2015,COMPUT EDUC,WoS,no,Impact of commercial video games on cognitive elaboration of physical concepts
136,Investigating the impact of video games on high school students' engagement and learning about genetics,2009,COMPUT EDUC,WoS,no,Impact of video games on high school students' engagement and learning about genetics
137,Integrating Science Tasks and Puzzles in Computer Role Playing Games,2019,MULTIMODAL TECHNOLOG,WoS,no,Integration of science tasks and puzzles in computer role-playing games
138,Partial Reinforcement in Game Biofeedback for Relaxation Training,2021,IEEE T AFFECT COMPUT,WoS,no,Partial reinforcement in game biofeedback for relaxation training
139,CHAMELEON: online learning for believable behaviors based on humans imitation in computer games,2013,COMPUT ANIMAT VIRT W,WoS,duplicate-no,
140,PeaceMaker: A video game to teach peace,2005,LECT NOTES COMPUT SC,WoS,no,Use of video games for teaching peace
141,The key successful factors of video and mobile game crowdfunding projects using a lexicon-based feature selection approach,2021,J AMB INTEL HUM COMP,WoS,no,Successful factors of video and mobile game crowdfunding projects
142,A Visuo-Haptic Attention Training Game With Dynamic Adjustment of Difficulty,2019,IEEE ACCESS,WoS,no,Visuo-haptic attention training game with dynamic difficulty adjustment
143,Auction-based serious game for bug tracking,2019,IET SOFTW,WoS,no,Auction-based serious game for bug tracking
144,Looking for archetypes: Applying game data mining to hearthstone decks,2022,ENTERTAIN COMPUT,WoS,no,Applying game data mining to Hearthstone decks
145,Designing productively negative experiences with serious game mechanics: Qualitative analysis of game-play and game design in a randomized trial,2018,COMPUT EDUC,WoS,no,Designing productively negative experiences with serious game mechanics
146,A narrative metaphor to facilitate educational game authoring,2012,COMPUT EDUC,WoS,no,Narrative metaphor for facilitating educational game authoring
147,Dissecting Cloud Gaming Performance with DECAF,2021,P ACM MEAS ANAL COMP,WoS,no,Dissecting cloud gaming performance with DECAF
148,Exploiting semantic segmentation to boost reinforcement learning in video game environments,2023,MULTIMED TOOLS APPL,WoS,no,Exploiting semantic segmentation to boost reinforcement learning in video game environments
149,Empirical Comparisons for Combining Balancing and Feature Selection Strategies for Characterizing Football Players Using FIFA Video Game System,2021,IEEE ACCESS,WoS,no,Comparing balancing and feature selection strategies for characterizing football players
150,"Working Attention, Planning and Social Skills Through Pervasive Games in Interactive Spaces",2022,IEEE T LEARN TECHNOL,WoS,no,"Developing attention, planning, and social skills through pervasive games"
151,Online gaming misbehaviours and their adverse impact on other gamers,2012,ONLINE INFORM REV,WoS,no,Study of online gaming misbehaviors and their impact on other gamers
152,Are Exergames Exercise? A Scoping Review of the Short-Term Effects of Exertion Games,2021,IEEE T GAMES,WoS,no,Reviewing short-term effects of exergames as exercise
153,Classification of Video Game Player Experience Using Consumer-Grade Electroencephalography,2022,IEEE T AFFECT COMPUT,WoS,duplicate-no,
154,Patterns of Engagement in an Educational Massively Multiplayer Online Game: A Multidimensional View,2020,IEEE T LEARN TECHNOL,WoS,no,Patterns of engagement in educational MMO games
155,An update to the systematic literature review of empirical evidence of the impacts and outcomes of computer games and serious games,2016,COMPUT EDUC,WoS,no,Updating systematic literature review on impacts of computer and serious games
156,Procedural content improvement of game bosses with an evolutionary algorithm,2023,MULTIMED TOOLS APPL,WoS,no,Procedural content improvement of game bosses using evolutionary algorithms
157,Making Maps Available for Play: Analyzing the Design of Game Cartography Interfaces,2019,ACM T COMPUT-HUM INT,WoS,no,Analyzing design of game cartography interfaces
158,Mobile games and design requirements to increase teenagers' physical activity,2012,PERVASIVE MOB COMPUT,WoS,no,Design requirements of mobile games to increase teenagers' physical activity
159,Gaming in the clouds: QoE and the users' perspective,2013,MATH COMPUT MODEL,WoS,no,Quality of experience and user perspective in cloud gaming
160,Performance Analysis of Game Engines on Mobile and Fixed Devices,2017,ACM T MULTIM COMPUT,WoS,no,Performance analysis of game engines on mobile and fixed devices
161,"Gender, Gaming Motives, and Genre: Comparing Singaporean, German, and American Players",2022,IEEE T GAMES,WoS,no,"Comparing gender, gaming motives, and genres among Singaporean, German, and American players"
162,Efficacy of Using Retro Games in Multimodal Biofeedback Systems for Mental Relaxation,2022,INT J GAMING COMPUT-,WoS,no,Using retro games in biofeedback systems for mental relaxation
163,A methodology for assessing the effectiveness of serious games and for inferring player learning outcomes,2018,MULTIMED TOOLS APPL,WoS,no,Methodology for assessing effectiveness of serious games and inferring player learning outcomes
164,An empirical study of players' emotions in VR racing games based on a dataset of physiological data,2020,MULTIMED TOOLS APPL,WoS,no,Study of players' emotions in VR racing games using physiological data
165,Developing two game-based interventions for dyslexia therapeutic interventions using gamification and serious games approaches entertainment computing journal,2022,ENTERTAIN COMPUT,WoS,no,Developing game-based interventions for dyslexia using gamification and serious games
